Depart;Arrivee;Distance;Tensions;Gabarit;Commentaire;Exploitee
Köln-Bonn Flughafen;Montabaur;67 km;15kVac;Gabarit continental;(Par LGV);
Frankfurt am Main Flughafen;Montabaur;80 km;15kVac;Gabarit continental;(Par LGV);
Frankfurt am Main Hbf;Montabaur;92 km;15kVac;Gabarit continental;(Par LGV);
Köln Hbf;Montabaur;82 km;15kVac;Gabarit continental;(Par LGV);
Frankfurt am Main Flughafen;Köln Hbf;162 km;15kVac;Gabarit continental;(Par LGV);
Frankfurt am Main Hbf;Köln Hbf;174 km;15kVac;Gabarit continental;(Par LGV);
Laval;Rennes;73 km;25kVac;Gabarit continental;(Par LGV);X
Rennes;Sablé-sur-Sarthe;125 km;25kVac;Gabarit continental;(Par LGV);
Laval;Sablé-sur-Sarthe;68 km;25kVac;Gabarit continental;(Par LGV);X
Le Mans;Rennes;170 km;25kVac;Gabarit continental;(Par LGV);
Le Mans;Sablé-sur-Sarthe;50 km;25kVac;Gabarit continental;(Par LGV);X
Massy;Rennes;418 km;25kVac;Gabarit continental;(Par LGV);
Paris Montparnasse;Rennes;432 km;1.5kVcc & 25kVac;Gabarit continental;Par LGV BPL;
Massy;Le Mans;188 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);X
Paris Montparnasse;Rennes;347 km;1.5kVcc & 25kVac;Gabarit continental;Par LGV Atlantique et ligne classique;
Massy;Rennes;333 km;1.5kVcc & 25kVac;Gabarit continental;Par LGV Atlantique et ligne classique;
Liège-Guillemins;Aachen Hbf;49 km;3kVcc & 25kVac;Gabarit continental;(Par LGV);X
Paris Gare de Lyon;Le Creusot TGV;310 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);
Le Creusot TGV;Mâcon TGV;60 km;25kVac;Gabarit continental;(Par LGV);X
Paris Gare de Lyon;Mâcon TGV;370 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);X
Lyon Part-Dieu;Mâcon TGV;65 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);
Lyon St Exupéry;Mâcon TGV;76 km;25kVac;Gabarit continental;(Par LGV);
Paris Gare de Lyon;Lyon St Exupéry;446 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);
Lille-Europe;Marne-la-Vallée - Chessy;248 km;25kVac;Gabarit continental;(Par LGV);
Marne-la-Vallée - Chessy;Le Creusot TGV;309 km;25kVac;Gabarit continental;(Par LGV);X
Folkestone;Ashford;21 km;25kVac;Gabarit continental;(Par LGV);
Calais-Fréthun;Ashford;73 km;25kVac & Aptitude tunnel sous la Manche;Gabarit continental;(Par LGV);
Lille-Europe;Ashford;174 km;25kVac & Aptitude tunnel sous la Manche;Gabarit continental;(Par LGV);
London St Pancras;Ashford;91 km;25kVac;Gabarit continental;(Par LGV);
Marne-la-Vallée - Chessy;Ashford;422 km;25kVac & Aptitude tunnel sous la Manche;Gabarit continental;(Par LGV);
Pont-de-Veyle;Mâcon TGV;10 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);
Bourg-en-Bresse;Mâcon TGV;39 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);X
Lyon Part-Dieu;Mâcon;72 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);
Crèches-sur-Saône;Mâcon TGV;4 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);
Villefranche-sur-Saône;Mâcon TGV;34 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);
Torino Stura;Bianzè;39 km;3kVcc & 25kVac;Gabarit continental;(Par LGV);
Torino Porta Susa;Bianzè;46 km;3kVcc & 25kVac;Gabarit continental;(Par LGV);
Torino Porta Nuova;Bianzè;51 km;3kVcc & 25kVac;Gabarit continental;(Par LGV);
Torino Porta Susa;Santhià;54 km;3kVcc & 25kVac;Gabarit continental;(Par LGV);
Torino Porta Nuova;Santhià;59 km;3kVcc & 25kVac;Gabarit continental;(Par LGV);
Torino Porta Susa;Vercelli;73 km;3kVcc & 25kVac;Gabarit continental;(Par LGV);
Torino Porta Nuova;Vercelli;78 km;3kVcc & 25kVac;Gabarit continental;(Par LGV);
Torino Stura;Novara;89 km;3kVcc & 25kVac;Gabarit continental;(Par LGV);
Torino Porta Susa;Novara;96 km;3kVcc & 25kVac;Gabarit continental;(Par LGV);
Torino Porta Nuova;Novara;101 km;3kVcc & 25kVac;Gabarit continental;(Par LGV);
Torino Stura;Rho Fiera;124 km;3kVcc & 25kVac;Gabarit continental;(Par LGV);
Torino Porta Susa;Rho Fiera;131 km;3kVcc & 25kVac;Gabarit continental;(Par LGV);
Torino Porta Nuova;Rho Fiera;136 km;3kVcc & 25kVac;Gabarit continental;(Par LGV);
Torino Porta Susa;Milano Porta Garibaldi;140 km;3kVcc & 25kVac;Gabarit continental;(Par LGV);
Torino Porta Susa;Milano Centrale;143 km;3kVcc & 25kVac;Gabarit continental;(Par LGV);
Torino Porta Nuova;Milano Porta Garibaldi;145 km;3kVcc & 25kVac;Gabarit continental;(Par LGV);
Torino Porta Nuova;Milano Centrale;148 km;3kVcc & 25kVac;Gabarit continental;(Par LGV);
Aschaffenburg Hbf;Würzburg Hbf;79 km;15kVac;Gabarit continental;(Par LGV);
Hanau;Würzburg Hbf;102 km;15kVac;Gabarit continental;(Par LGV);
Frankfurt am Main Hbf;Würzburg Hbf;125 km;15kVac;Gabarit continental;(Par LGV);
Fulda;Würzburg Hbf;93 km;15kVac;Gabarit continental;(Par LGV);
